x_mean,y_mean,z_mean,x_sd,y_sd,z_sd,label,activity,position,by
5.340350106666666,-0.6601813862666667,5.151362113333334,1.30252602417772,1.3943960536994395,0.523899960667521,2,walk,front,benz
4.987912913333334,-7.573250746666667,7.327917486666666,1.776157837622711,2.4015800933177784,1.0386244855175941,2,walk,front,benz
4.635316046666667,-7.764792859999999,5.684168066666667,0.8217401705286822,0.9198295960718985,1.2394466168928266,2,walk,front,benz
2.468018471333333,-8.291693046666667,4.83244464,1.1429454266910561,1.6831700941514625,1.8250678941676588,2,walk,front,benz
2.402096122666666,-7.119455946666666,4.450318473333334,0.9718823751359847,0.7059886215690266,1.2307396291894739,2,walk,front,benz
3.8369052466666664,-8.624177773333335,4.992701440000001,1.120399999010933,1.4366972477937265,1.1553961774062182,2,walk,front,benz
3.488298833333333,-7.880037326666667,4.3863114733333335,0.5705121088662295,0.48814971229024307,0.6979764872948213,2,walk,front,benz
2.1604339666666665,-8.081954533333333,4.806905686666667,0.7240181272311574,1.4057173852104743,0.8596221298414394,2,walk,front,benz
2.6469506133333334,-7.148825759999999,5.472035239999999,0.813556236596381,1.0213665009015775,1.0860212587254368,2,walk,front,benz
3.827647353333333,-8.076048466666668,5.5713178333333335,0.421366804502029,1.6348238019170807,0.6167328298239441,2,walk,front,benz
3.756776813333334,-7.731592186666666,5.008822953333334,1.2618644649220363,0.9032765089270057,0.7967905830418963,2,walk,front,benz
1.8388030360000003,-9.005665526666666,4.167155553333333,0.7525138035139161,1.550948764774841,1.0067890290354273,2,walk,front,benz
2.848548577333334,-7.583147106666666,4.12501626,1.5873336673071266,1.8399498452786482,2.176782934089944,2,walk,front,benz
3.14687516,-7.700306993333333,5.319919053333335,0.8175481641982872,1.4597257004856314,0.5541939151322989,2,walk,front,benz
3.688619750666667,-8.40438336,4.305225313333334,1.706852296265582,2.126227476692294,1.3542297449355643,2,walk,front,benz
2.4578029333333333,-8.188419753333333,4.305225300000001,0.6525115155104213,0.9892957660401143,0.6996567918366702,2,walk,front,benz
3.01455168,-8.264079046666666,4.628133219999999,1.6121245355351315,2.0365765286894413,1.468223507738348,2,walk,front,benz
